City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,tha mai,12.6214,102.0048,25.38,90,100,0.5,TH,1730092321
192,sabang,5.8933,95.3214,28.29,77,89,9.17,ID,1730092322
193,upington,-28.4478,21.2561,7.91,62,19,3.82,ZA,1730092323
194,port alfred,-33.5906,26.891,16.77,71,96,1.79,ZA,1730092324
195,bandiagara,14.3501,-3.6104,26.53,33,7,3.42,ML,1730092325
196,midvagur,62.0511,-7.1939,4.46,93,100,3.6,FO,1730092326
197,catole do rocha,-6.3439,-37.7467,24.38,69,6,5.88,BR,1730092328
198,piet retief,-27.0071,30.8132,16.64,39,74,3.05,ZA,1730092329
199,hauterive,46.0901,3.4459,11.17,93,14,0.73,FR,1730092330
200,port mathurin,-19.6833,63.4167,23.94,75,2,6.67,MU,1730092331
201,ancud,-41.8697,-73.8203,7.37,87,3,1.67,CL,1730092332
202,haiku-pauwela,20.9219,-156.3051,25.01,74,0,8.05,US,1730092334
203,utrik,11.2278,169.8474,28.62,75,97,2.13,MH,1730092335
204,nouadhibou,20.931,-17.0347,19.99,77,46,10.29,MR,1730092336
205,guiuan,11.0333,125.7247,29.61,74,100,7.95,PH,1730092337
206,vila velha,-20.3297,-40.2925,21.64,89,100,6.69,BR,1730092163
207,aral,40.5156,81.2636,16.03,23,100,1.38,CN,1730092340
208,lindi,-10.0,39.7167,28.26,69,10,3.0,TZ,1730092341
209,ponta delgada,37.7333,-25.6667,18.44,68,75,3.6,PT,1730092342
210,motta sant'anastasia,37.5131,14.9659,16.69,85,20,1.54,IT,1730092343
211,grand falls-windsor,48.9332,-55.6649,0.28,88,52,5.0,CA,1730092344
212,minot,48.2325,-101.2963,10.12,53,0,5.14,US,1730092345
213,olonkinbyen,70.9221,-8.7187,-4.62,77,100,17.53,SJ,1730092346
214,tanjung pandan,-2.75,107.65,34.36,50,37,4.98,ID,1730092347
215,coahuayana de hidalgo,18.7,-103.6583,24.81,81,0,1.8,MX,1730092350
216,karratha,-20.7377,116.8463,36.46,26,1,7.71,AU,1730092351
217,oltinko'l,40.8011,72.1634,13.49,60,100,4.17,UZ,1730092352
218,mukalla,14.5425,49.1242,27.26,71,18,1.75,YE,1730092353
219,bayanhongor,46.7167,100.1167,-3.86,78,8,1.03,MN,1730092354
220,chui,-33.6971,-53.4616,13.05,88,100,2.41,UY,1730092356
221,gaigeturi,33.4644,126.3183,19.3,65,100,5.69,KR,1730092357
222,las khorey,11.1595,48.1967,28.67,62,12,2.87,SO,1730092358
223,ambovombe,-25.1667,46.0833,26.58,69,50,2.33,MG,1730092359
224,saipan,15.1355,145.701,31.39,74,40,4.12,MP,1730092109
225,fale old settlement,-9.3852,-171.2468,27.46,79,100,5.85,TK,1730092362
